customer_Id,Gender,city,Customer_Name
266783,M,New York,John
266784,F,Boston,William
266785,F,Mumbai,James
266788,F,Pune,Charles
266794,F,Las Vegas,George
266799,F,London,Frank
266803,F,Boston,Joseph
266804,M,Boston,Thomas
266805,F,Panama,Henry
266806,F,Boston,Robert
266807,M,New York,Edward
266809,F,Mumbai,Harry
266810,F,Mumbai,Walter
266812,M,London,Arthur
266813,F,Las Vegas,Fred
266814,F,Las Vegas,Albert
266815,F,New York,Samuel
266816,M,Wales,David
266817,F,London,Louis
266818,F,Pune,Joe
266819,M,Panama,Charlie
266820,F,London,Clarence
266821,M,London,Richard
266822,F,Las Vegas,Andrew
266823,M,Mumbai,Daniel
266824,M,Cannes,Ernest
266825,F,Panama,Will
266827,F,Cannes,Jesse
266829,F,New York,Oscar
266830,M,Boston,Lewis
266831,M,Wales,Peter
266833,F,Cannes,Benjamin
266835,F,Boston,Frederick
266836,F,Cannes,Willie
266838,M,New York,Alfred
266841,M,Boston,Sam
266842,F,Boston,Roy
266843,F,London,Herbert
266844,M,London,Jacob
266845,F,Boston,Tom
266846,M,Pune,Elmer
266847,F,Cannes,Carl
266848,F,Boston,Lee
266849,M,Boston,Howard
266851,M,Panama,Martin
266852,M,London,Michael
266853,M,Wales,Bert
266854,M,London,Herman
266855,M,Boston,Jim
266856,M,Boston,Francis
266857,F,Boston,Harvey
266858,M,Boston,Earl
266860,F,Mumbai,Eugene
266861,M,Cannes,Ralph
266862,F,London,Ed
266863,M,Wales,Claude
266864,F,Mumbai,Edwin
266865,M,Las Vegas,Ben
266866,M,New York,Charley
266867,F,Las Vegas,Paul
266870,F,Cannes,Edgar
266872,F,Boston,Isaac
266875,F,Las Vegas,Otto
266878,M,New York,Luther
266881,M,Wales,Lawrence
266882,M,Las Vegas,Ira
266883,F,Boston,Patrick
266885,M,London,Guy
266886,M,Boston,Oliver
266887,F,New York,Theodore
266888,M,Mumbai,Hugh
266889,M,Mumbai,Clyde
266891,F,Wales,Alexander
266892,M,Pune,August
266894,F,Mumbai,Floyd
266895,M,New York,Homer
266896,F,Boston,Jack
266897,F,New York,Leonard
266900,M,Las Vegas,Horace
266901,F,Panama,Marion
266902,M,Cannes,Philip
266903,M,Boston,Allen
266904,F,Las Vegas,Archie
266906,M,Boston,Stephen
266907,M,Boston,Chester
266910,M,Wales,Willis
266911,F,Wales,Raymond
266915,F,London,Rufus
266916,M,Boston,Warren
266917,F,Panama,Jessie
266918,M,Pune,Milton
266919,M,Wales,Alex
266920,F,Boston,Leo
266921,F,Mumbai,Julius
266922,F,Mumbai,Ray
266923,M,Cannes,Sidney
266927,F,Panama,Bernard
266929,M,Panama,Dan
266930,F,Panama,Jerry
266931,F,New York,Calvin
266934,F,New York,Perry
266935,F,Boston,Dave
266936,F,Las Vegas,Anthony
266937,F,Pune,Eddie
266939,M,Boston,Amos
266940,F,Panama,Dennis
266941,F,Wales,Clifford
266942,M,New York,Leroy
266943,F,Las Vegas,Wesley
266944,F,Boston,Alonzo
266945,M,Pune,Garfield
266947,M,London,Franklin
266950,M,Wales,Emil
